Total,Lat,Lon,Dose
205,47.97481451,16.51208443,6.721538976
193,47.97481536,16.51208377,6.885342121
197,47.97481579,16.51208267,6.320295071
203,47.97481559,16.51208207,7.57202553
184,47.9748154,16.5120815,5.757164237
204,47.97481413,16.51207934,6.126815319
193,47.97481419,16.51208059,6.001515831
218,47.97481313,16.51208485,6.564753584
180,47.97481138,16.5120892,5.902084827
180,47.9748133,16.51209357,6.55626297
187,47.9748133,16.51210021,6.505135576
172,47.97481698,16.51210582,5.71348519
197,47.97482022,16.51211252,7.144946575
234,47.97482394,16.51211826,7.840397975
246,47.9748264,16.51212357,8.514292717
228,47.97482839,16.51212322,7.791625028
232,47.97482953,16.51212091,7.651302814
201,47.97483,16.51211931,6.697787331
189,47.97482739,16.51211959,5.335005843
227,47.9748231,16.51212201,7.020956993
213,47.97481791,16.51212532,6.786580232
215,47.97481719,16.51212795,7.57410717
209,47.97481858,16.51213586,6.812001523
215,47.97481962,16.51213639,6.482957636
199,47.97482021,16.51212838,6.5603652
205,47.97482179,16.51212522,7.254755559
225,47.97482373,16.51212254,7.679977834
169,47.9748259,16.51212309,5.298547132
197,47.97482812,16.51212514,6.711673364
201,47.97482836,16.51212477,7.807899132
203,47.97482936,16.51212769,6.878161604
195,47.97482904,16.51213439,6.751745224
184,47.97482868,16.51214273,6.078752518
184,47.97482738,16.51214941,5.715045452
216,47.9748258,16.5121529,6.850475601
203,47.97482995,16.51215728,6.494608966
227,47.97483189,16.51216412,7.490455553
204,47.97483353,16.51217088,6.60949752
219,47.97483426,16.51217281,7.632427216
223,47.97483256,16.51217332,7.589235103
242,47.97482558,16.51217735,8.863208771
252,47.97482196,16.5121781,8.433567164
275,47.97481731,16.51218089,8.243988991
291,47.97481251,16.51218521,9.770705409
292,47.97480225,16.51218732,9.054790497
341,47.97479202,16.51219525,11.99891721
325,47.97478997,16.51220407,10.85723876
312,47.97478514,16.51221162,11.01549953
330,47.97477984,16.51222225,10.0908272
303,47.9747743,16.51223206,10.51177692
297,47.97476872,16.51224188,8.698924414
352,47.97476235,16.51225092,11.93633174
308,47.97475688,16.51226041,11.66146713
326,47.97475261,16.51227098,11.40976033
335,47.97474666,16.51227991,11.2738269
314,47.97474102,16.51228853,10.17477894
300,47.9747372,16.51229905,10.08087867
365,47.97473061,16.51230799,13.58672529
280,47.97472391,16.51231541,9.54002285
299,47.97471896,16.51232418,10.70604801
310,47.97471365,16.5123321,10.89545495
319,47.97470919,16.51234121,11.05845925
280,47.97470381,16.51235054,8.843862534
274,47.9746958,16.51236081,8.630979654
263,47.97468917,16.51237057,8.472410202
291,47.97468453,16.51237615,10.02101007
266,47.9746816,16.51238124,8.742236137
245,47.97468164,16.5123846,7.980581284
288,47.97468293,16.51239038,10.21473674
240,47.97468786,16.51239713,8.10809803
237,47.97468859,16.5124019,7.677431583
191,47.97468734,16.51240177,6.206661293
225,47.97468991,16.51239947,6.497520978
196,47.97469364,16.51239321,6.146779537
194,47.97469767,16.51238362,6.985616069
228,47.97470448,16.51237193,6.994197845
247,47.97471088,16.51236217,8.529887314
281,47.97471569,16.51235277,8.941041946
311,47.97471961,16.51234461,10.01567936
301,47.9747268,16.51233799,10.2763294
324,47.97473229,16.51233004,10.5260861
335,47.97473942,16.51231741,11.59472541
336,47.97474566,16.51230887,11.59908616
314,47.97475014,16.51230038,10.69278919
332,47.9747536,16.51229221,10.40667161
336,47.97475945,16.51228702,11.2897253
311,47.97476445,16.5122799,9.809729795
342,47.97477021,16.51226846,13.03421897
333,47.97477557,16.51226184,11.95475159
333,47.97477912,16.51225579,11.11741028
337,47.97478179,16.51225073,12.66337141
346,47.97478385,16.51224763,11.67862275
300,47.97478547,16.51225015,9.66960907
297,47.97479007,16.51225663,9.763678386
312,47.97479147,16.51225948,10.07023265
367,47.97479131,16.51226048,12.59415198
319,47.97479431,16.5122629,10.41770528
295,47.97479467,16.51227108,10.36699866
297,47.97478923,16.51228129,10.19641454
307,47.97478305,16.51229283,10.49324782
337,47.97477806,16.51230409,11.26765713
327,47.97477317,16.51231669,10.79110923
312,47.97476731,16.51233153,9.530962763
295,47.97476037,16.51234419,10.66779232
346,47.97475078,16.51235562,11.94677055
331,47.97474358,16.51236482,11.27233553
335,47.97473674,16.51237657,11.48308538
286,47.97473092,16.51238775,9.351915359
208,47.97472381,16.51239909,6.689133143
198,47.97471574,16.51240914,5.945860386
232,47.97470447,16.51242275,8.574386387
215,47.97469743,16.51243345,7.098236985
212,47.97469082,16.51244602,7.556128094
194,47.97468491,16.51245742,6.453197172
197,47.97467742,16.51246708,6.482380208
196,47.97467073,16.51247776,6.307093143
186,47.97466322,16.51249275,6.782433801
195,47.974657,16.5125065,5.810469284
203,47.97465106,16.51251689,6.987954726
230,47.974642,16.51252679,8.03027916
226,47.97463472,16.51253544,7.37885016
198,47.97462863,16.5125463,5.715770531
222,47.97462053,16.51255907,8.009043183
203,47.97461367,16.51256672,7.483281792
231,47.97461395,16.51257217,7.759263108
196,47.97462132,16.51257893,5.834275723
197,47.97462978,16.5125882,6.889777184
167,47.97463652,16.51259505,5.232818127
165,47.97464283,16.51258945,5.839756823
200,47.97464869,16.51257896,5.707401276
184,47.9746545,16.51256693,6.369290446
187,47.97466144,16.51255525,6.510272842
189,47.97466848,16.51254496,6.151457011
175,47.97467651,16.51253133,4.973747253
230,47.97468331,16.51251681,7.379310608
184,47.9746894,16.51250259,5.643784867
172,47.97469592,16.51249047,5.824876544
204,47.97470424,16.51247868,7.299446989
159,47.97471101,16.51246768,5.591993809
174,47.97471879,16.51245249,6.312569259
174,47.97472519,16.51243883,5.70952873
220,47.97473226,16.51242591,6.885316548
200,47.97474005,16.51241467,6.720032095
230,47.97474753,16.51240348,7.074929764
251,47.97475427,16.5123916,8.153468936
294,47.97476172,16.51237596,10.51888438
311,47.97476873,16.51236177,10.22944682
269,47.9747758,16.51235006,8.859976042
306,47.97478354,16.51233918,10.12029625
325,47.97479035,16.51233016,10.684544
278,47.97479968,16.51231635,8.875966072
326,47.97480616,16.51230441,10.83321308
291,47.97481219,16.51229386,10.21555269
260,47.97481911,16.51228658,8.20969677
298,47.97482514,16.51227431,9.471672669
321,47.97483085,16.5122673,10.74831226
286,47.9748384,16.51227107,8.404664818
251,47.97484518,16.51228,8.570562143
205,47.9748501,16.51228709,6.14529345
189,47.97484985,16.51229634,6.251848654
203,47.97484536,16.51230603,6.328460217
218,47.97483777,16.51231911,7.201488696
213,47.97483091,16.51233161,7.419210434
216,47.97482407,16.51234476,7.581262589
244,47.97481747,16.51235643,7.523900299
245,47.97481024,16.51236787,7.881876945
249,47.97480289,16.51237771,7.88821888
215,47.97479279,16.51239484,7.787586212
195,47.97478533,16.51240858,6.334308624
169,47.97477801,16.51242138,6.918657101
179,47.97476981,16.51243282,5.580485344
211,47.97476251,16.51244359,6.862533374
192,47.974754,16.51245487,6.276950884
220,47.97474601,16.51246714,8.554357317
195,47.97473873,16.51247855,6.7196722
186,47.97473219,16.51248841,5.883769512
200,47.97472472,16.51249705,5.44940046
181,47.97471824,16.51250619,5.733413219
196,47.97470981,16.51251916,6.546460985
203,47.97470242,16.51253069,6.649930477
197,47.97469638,16.5125425,6.470575144
192,47.9746907,16.5125547,6.72076525
177,47.97468436,16.51256709,6.517363418
173,47.97467647,16.51258188,5.786522015
188,47.97466679,16.51259764,5.940487332
177,47.97465904,16.51260817,5.231475886
201,47.97465107,16.51261669,6.741645371
179,47.97464781,16.51262203,6.390987396
178,47.97465083,16.51263112,5.676168745
201,47.97465999,16.51263965,6.336378182
184,47.97466748,16.51264612,5.749987602
180,47.97467601,16.51265061,5.637965679
214,47.97468249,16.51264597,7.061752499
185,47.97468824,16.51263344,6.344299316
187,47.97469336,16.5126187,5.754343308
174,47.97470224,16.51260303,5.968379498
186,47.97470948,16.5125935,5.933955787
197,47.97471643,16.5125845,6.224911213
198,47.97472304,16.51257389,7.222443581
181,47.9747293,16.51256038,5.683852553
196,47.9747372,16.51254416,6.672721639
204,47.97474464,16.51253203,6.783625603
161,47.97475134,16.51252166,5.988238375
177,47.97475693,16.51251074,5.458542113
178,47.97476422,16.51249587,6.040996996
179,47.97477213,16.51248057,5.580697737
182,47.97478137,16.51246742,6.188984429
179,47.97478899,16.51245673,5.744373798
180,47.97479611,16.51244494,6.30759421
211,47.97480173,16.51243214,7.205578327
196,47.97480803,16.51241816,6.400902506
220,47.97481785,16.5124049,7.258037579
213,47.9748255,16.51239601,7.748797033
214,47.97483234,16.51238594,7.016632918
220,47.97483787,16.51237526,7.412683487
229,47.97484316,16.51236394,7.789945359
182,47.97485259,16.51234755,5.475176811
203,47.97486123,16.51233556,7.161215782
190,47.97486958,16.51232577,5.687720709
199,47.97487649,16.51231673,6.18914938
176,47.97488407,16.51230588,5.648523168
173,47.9748958,16.51230466,5.570491791
234,47.97490525,16.51231453,8.698616068
239,47.97491026,16.51232672,7.318848868
286,47.97491063,16.51233861,9.736430412
257,47.97490643,16.51234961,7.91717878
215,47.97489979,16.51236434,8.381556116
221,47.97489177,16.51237841,8.23871994
202,47.97488455,16.51238778,7.278975487
234,47.97487679,16.51239865,7.999471664
255,47.97486976,16.51240825,8.761465974
224,47.97486253,16.51242048,7.541581154
240,47.97485226,16.51243651,8.193577268
222,47.97484406,16.5124472,7.099055767
218,47.97483555,16.51245823,7.416151808
229,47.97482884,16.51246977,7.40157032
212,47.97482254,16.51248105,6.951650849
196,47.97481253,16.51249766,6.730670479
211,47.97480488,16.51250943,7.082715673
205,47.97479592,16.51252058,6.545410416
174,47.97478714,16.51253136,5.711865902
218,47.97477888,16.51254124,7.714925445
223,47.97476934,16.51255412,8.276726723
192,47.97475899,16.51256722,5.716293708
191,47.97474995,16.51257804,6.757859707
195,47.97474292,16.51258743,5.628087427
219,47.97473608,16.51259923,6.931972128
174,47.97472942,16.51261066,6.418701352
194,47.97471958,16.5126236,6.743669413
199,47.97471114,16.51263142,7.023640156
182,47.97470338,16.51263948,6.12394556
177,47.97469595,16.51265046,5.66140684
180,47.9746884,16.51266345,6.013098822
179,47.97468026,16.51267445,4.978347301
220,47.97467759,16.512683,6.741481304
203,47.97468147,16.51269224,7.19332996
247,47.97468743,16.51270233,8.340001106
195,47.9746925,16.5127094,5.655007362
195,47.97469807,16.51270861,6.473138332
201,47.97470457,16.51270166,6.262556553
203,47.97471123,16.51269344,6.424868943
216,47.97471798,16.51268455,7.084362227
195,47.97472426,16.51267374,6.360608467
178,47.97473089,16.5126595,6.083687768
190,47.97473966,16.51264173,7.061951797
178,47.97474685,16.51262926,6.29837154
192,47.97475451,16.51261807,7.406286673
161,47.97476269,16.51260878,5.899855964
210,47.97477033,16.51259735,6.69309008
208,47.9747783,16.51257997,6.864449792
214,47.97478509,16.51256882,6.83189249
206,47.97479189,16.51255771,6.877861725
195,47.97480028,16.51254837,6.122375673
215,47.97480667,16.51253765,7.28546524
225,47.97481427,16.51252299,7.751257589
212,47.97482299,16.51251093,7.399731236
233,47.97483062,16.51250118,7.640012741
202,47.97483783,16.51249047,7.022166119
225,47.97484427,16.51247857,6.353336811
250,47.97485343,16.51246226,8.666082314
215,47.97486037,16.51245196,6.732450008
215,47.97486721,16.51244071,7.787147341
239,47.97487254,16.51242829,8.782791138
224,47.97487753,16.51241512,7.404367392
233,47.97488378,16.51240232,8.067765236
243,47.97489278,16.51238941,7.974681854
250,47.97489892,16.51237885,7.307941914
230,47.97490427,16.51236833,7.724294095
228,47.97490827,16.51236512,6.829440207
234,47.97491402,16.51236916,8.237074852
234,47.9749241,16.51238246,7.84110952
231,47.9749285,16.5123934,7.745775678
228,47.97493141,16.5124029,7.812299905
249,47.97493003,16.51241427,8.100023633
234,47.97492427,16.51242642,7.973900795
248,47.97491738,16.51243659,7.761973776
254,47.97491221,16.51244602,8.338097588
258,47.97490745,16.51245825,8.072328893
244,47.97490186,16.51247062,8.058913493
241,47.97489393,16.51248186,7.522964285
228,47.97488651,16.51249529,6.773946196
214,47.97488066,16.5125078,7.137968265
215,47.97487432,16.51251789,7.141222494
212,47.97486684,16.51252614,6.572427846
236,47.9748605,16.51253444,8.655148506
260,47.97485365,16.51255004,8.536375927
241,47.97484692,16.51256135,9.273825823
244,47.97483961,16.51257091,8.519233704
223,47.9748327,16.5125803,7.690508823
214,47.97482695,16.5125911,7.501147673
219,47.97481919,16.51260326,7.375757162
214,47.97480973,16.51261323,6.975963338
210,47.97480345,16.51262332,7.122758389
176,47.97479922,16.51263518,6.283828246
194,47.97479342,16.51264765,6.472142645
175,47.97478427,16.51265805,5.638962082
181,47.97477592,16.51266911,5.575548946
190,47.97476952,16.51268012,6.526995623
185,47.97476323,16.51268899,6.168379175
208,47.97475604,16.51269863,7.133728504
160,47.97474927,16.51271222,5.0579205
211,47.97474219,16.51272583,6.668012932
222,47.9747342,16.51273761,7.01134666
202,47.97473031,16.51274594,6.704848721
177,47.97473203,16.51275688,5.661473664
187,47.97473944,16.51276775,6.755350501
205,47.97474724,16.51277569,6.635974153
209,47.97475269,16.5127759,7.12095499
201,47.97475886,16.51276978,7.062697582
210,47.97476543,16.51276174,6.115970113
188,47.97477207,16.51275167,6.147409862
212,47.97477918,16.51273726,7.574802068
210,47.97478482,16.5127277,6.555296421
196,47.97479081,16.51271787,6.20542839
214,47.9747961,16.51270705,6.842030808
210,47.97480083,16.51269382,7.606321529
201,47.97480799,16.5126757,6.381371975
222,47.9748152,16.51266348,7.534231293
202,47.97482224,16.51265272,6.096222878
193,47.97482846,16.51264248,5.72070839
196,47.9748347,16.51262994,6.589714864
207,47.97484331,16.51261462,6.477976624
213,47.97485012,16.51260323,7.099937439
186,47.97485587,16.51259265,6.622938695
221,47.97486134,16.51258061,7.956835021
204,47.97486722,16.51256892,5.969963913
229,47.974878,16.51255531,7.606566391
197,47.97488553,16.51254563,5.940516952
203,47.97489186,16.51253456,7.129226627
226,47.97489795,16.51252208,6.802631363
234,47.97490552,16.51251056,6.639067736
223,47.97491611,16.51249821,7.237990249
264,47.97492247,16.51248735,8.703916168
256,47.97492855,16.51247737,8.46341841
228,47.97493561,16.51246905,7.145511642
240,47.97494177,16.51246424,8.6685128
226,47.97495222,16.51247675,7.316618377
260,47.97495972,16.51248729,7.983233375
242,47.97496543,16.51249985,8.350363731
233,47.97496749,16.51251186,8.815841638
254,47.97496348,16.512523,8.304537608
217,47.97495646,16.51253743,6.259336286
233,47.97495144,16.51255058,6.937413513
254,47.97494557,16.51256328,9.224363634
231,47.97493914,16.51257398,7.699027454
237,47.97493135,16.5125843,8.056835265
211,47.97492268,16.51259772,7.741135181
232,47.97491548,16.51260882,7.418746948
213,47.97490789,16.51261931,7.423512491
211,47.97490053,16.51262806,7.304647808
218,47.97489289,16.51263827,6.578377571
203,47.97488435,16.51265323,6.8413167
220,47.97487733,16.51266479,7.187876642
221,47.97487034,16.51267389,7.268833471
223,47.97486247,16.51268372,6.823511007
198,47.97485306,16.51269806,6.501511804
230,47.97484475,16.51271089,8.339893245
217,47.97483653,16.51272023,7.102481842
221,47.97482846,16.51272841,6.668372827
207,47.97482148,16.51273797,7.645950085
223,47.97481338,16.51274977,7.617424965
224,47.97480316,16.51276184,7.790767294
215,47.9747956,16.51277115,6.868176186
202,47.9747894,16.51278166,6.585921526
212,47.97478402,16.51279381,6.927884102
206,47.97477696,16.51280425,6.547449026
211,47.97477279,16.51281399,6.548218934
235,47.97477659,16.51282502,8.049571494
260,47.97478322,16.51283586,9.386126461
276,47.97478892,16.5128426,9.32609272
251,47.9747947,16.51284221,8.530650062
253,47.97480202,16.51283653,8.756310023
258,47.97480708,16.51282805,8.304280813
255,47.97481216,16.51281714,8.218925531
220,47.97481725,16.51280712,6.8118421
223,47.97482408,16.51279771,8.104969025
236,47.97483067,16.51278434,7.292051002
233,47.97483586,16.5127721,8.157370102
256,47.97484148,16.51276078,8.203690607
274,47.97484823,16.51274975,9.503148694
251,47.97485502,16.51273868,8.275476578
251,47.97486412,16.51272288,8.334864858
228,47.97487059,16.51271039,7.627383984
231,47.97487736,16.51269898,7.082921982
256,47.97488446,16.51268728,8.441225197
236,47.97488983,16.51267375,7.44147
241,47.97489743,16.5126542,7.474985112
223,47.97490353,16.51263934,6.998369434
225,47.97491088,16.51262664,6.644544812
222,47.97491857,16.51261446,6.943150833
216,47.9749252,16.5126012,6.619818211
215,47.97493376,16.51258515,6.764114472
225,47.97494116,16.51257393,8.091487341
234,47.97494815,16.51256339,7.70105604
219,47.97495451,16.51255192,6.581766981
210,47.9749616,16.51253867,7.71874961
232,47.97496939,16.51252757,7.783916877
204,47.97497382,16.51252002,6.711707115
228,47.97497694,16.5125109,7.808998798
215,47.97498118,16.51250047,5.943868654
201,47.97498592,16.51248818,6.643405462
224,47.97499236,16.51247165,7.693615185
208,47.97499857,16.51246086,6.475889086
223,47.97500589,16.51245186,8.236375193
214,47.97501404,16.51244409,7.829846462
226,47.97502207,16.51243502,8.00424428
232,47.97503288,16.51242718,7.507363796
246,47.97504095,16.51242957,7.804250951
227,47.97504689,16.51243842,7.061709541
229,47.9750506,16.51245047,7.33544891
223,47.97504981,16.5124624,7.018377979
194,47.9750422,16.51247341,5.681782246
201,47.9750357,16.5124815,5.684716015
216,47.97502952,16.51249145,8.075865793
187,47.97502356,16.51250079,6.188892308
206,47.97501781,16.51251016,7.172085285
204,47.97501425,16.51252272,7.594871232
209,47.97501081,16.51253119,7.076859951
220,47.97500921,16.51253725,7.823056663
234,47.97501155,16.51254066,7.492237644
249,47.97500998,16.51253615,9.493800163
244,47.97500534,16.51252814,8.261383203
226,47.97500419,16.51252554,7.129690577
206,47.97500649,16.51252963,7.171248438
227,47.9750111,16.51253541,7.420348357
242,47.97501272,16.51253927,8.239893
242,47.97501372,16.51254333,7.896000337
224,47.97501074,16.51254855,8.142592446
235,47.97500564,16.51255656,7.721771488
270,47.97500083,16.51256771,8.859642877
289,47.97499529,16.5125801,9.007978848
291,47.9749864,16.51259315,9.479718282
311,47.9749793,16.51260561,9.715227171
318,47.97497294,16.51261909,9.956031841
294,47.97496612,16.51263137,9.600728955
269,47.97495834,16.51264171,9.125403935
261,47.97494829,16.51265729,9.165144183
208,47.97494162,16.51267201,6.974103721
254,47.97493582,16.51268572,8.324355705
273,47.97492926,16.51269775,9.501911495
253,47.97492189,16.51270892,8.614811104
279,47.97491419,16.51272259,9.59765314
302,47.97490787,16.51273619,10.11643669
235,47.97490173,16.51274769,7.482834549
243,47.97489465,16.51275768,8.756715775
244,47.97488796,16.51277046,8.01474663
263,47.97488129,16.51278676,8.279155934
269,47.97487383,16.51280079,8.40198317
265,47.97486643,16.51281166,9.045672043
266,47.97485933,16.51282235,8.639746666
271,47.97485352,16.51283269,8.881760675
260,47.97484539,16.51284464,7.674098274
248,47.97483614,16.51285394,7.444759846
211,47.97482945,16.51286362,6.630137075
270,47.97482468,16.51287458,9.751205444
233,47.97482247,16.51288362,7.629920911
249,47.97482665,16.51289278,8.835351389
264,47.9748346,16.51290351,8.960048839
261,47.97483948,16.51291271,8.619259834
237,47.97484264,16.51291428,7.771371365
259,47.97484721,16.51290997,9.271827784
250,47.97485432,16.51290225,7.931099179
234,47.97485978,16.51289143,7.069858731
213,47.97486529,16.51288095,6.981365584
228,47.9748718,16.51287206,7.817878279
215,47.97487905,16.51286295,7.072184207
205,47.97488585,16.51285145,6.687001705
212,47.97489226,16.5128378,7.189261809
248,47.9748986,16.51282704,8.765859176
251,47.97490491,16.51281729,9.284540176
245,47.97491051,16.51280698,7.970416049
264,47.97491557,16.51279708,8.901893799
261,47.97491991,16.51279038,9.424509227
286,47.97492505,16.51278299,9.065625191
332,47.97493205,16.51277226,10.69632199
343,47.97493657,16.51276453,11.9027603
322,47.97493996,16.51276056,10.5253257
320,47.97494114,16.51275666,10.47812745
296,47.9749416,16.51275372,10.69101352
339,47.97494162,16.51274969,10.1318739
289,47.97494292,16.51274582,9.120226027
278,47.97494813,16.51273912,8.650495529
271,47.97495519,16.51273455,8.317284768
232,47.97496151,16.51272865,8.066101849
228,47.97496705,16.51272147,7.24548912
235,47.97497416,16.51271409,7.531351178
259,47.97498455,16.51270485,8.336442261
261,47.97499379,16.51269587,10.12916386
230,47.97500154,16.5126879,6.592925639
267,47.97500769,16.51268029,8.268137607
255,47.9750125,16.51267121,8.126322706
271,47.97501985,16.51265908,8.868504524
245,47.97502678,16.5126509,8.136599286
253,47.97503222,16.51264278,7.660518646
257,47.97503749,16.51263322,8.79485412
238,47.97504337,16.51262609,8.023643772
224,47.97504747,16.51262166,7.202128887
220,47.97505087,16.51262247,6.768186314
218,47.97505459,16.51262695,7.330338782
234,47.97505861,16.51263361,7.284308434
207,47.97506349,16.51264097,7.61257833
217,47.97506822,16.5126473,7.274369323
201,47.97506889,16.51265484,6.019153994
228,47.97506771,16.51266283,6.819997495
235,47.97506439,16.51266964,7.961179537
204,47.97506035,16.51267731,7.2379632
205,47.97505645,16.51268863,6.815055859
207,47.97505242,16.51269813,7.101461722
218,47.97504736,16.5127067,7.045333862
212,47.97504185,16.51271519,6.933076156
225,47.97503653,16.51272574,7.454151154
235,47.97502875,16.51273808,8.264816453
215,47.97502255,16.51274721,6.16267395
246,47.97501741,16.51275775,8.324593407
