rec_idx,gps_fix,gps_lat,gps_lon,gps_alt,laser_alt,cps,dose_rate,real_time,live_time
1076,0,47.9707949,16.5072453,246.939,-1,10,0.006,1076.995,1076.8
1077,0,47.9708117,16.5072145,246.939,-1,12,0.007,1077.995,1077.8
1078,0,47.9708289,16.5071834,246.959,-1,14,0.011,1078.995,1078.8
1079,0,47.9708463,16.507153,246.989,-1,10,0.004,1079.995,1079.8
1080,0,47.9708638,16.5071223,247.009,-1,14,0.01,1080.995,1080.8
1081,0,47.9708807,16.5070909,247.029,-1,16,0.012,1081.995,1081.8
1082,0,47.9708973,16.5070592,247.009,-1,20,0.044,1082.995,1082.8
1083,0,47.9709139,16.5070277,246.989,-1,21,0.011,1083.995,1083.8
1084,0,47.9709308,16.5069961,246.949,-1,12,0.018,1084.995,1084.8
1085,0,47.9709475,16.5069648,246.949,-1,13,0.021,1085.995,1085.8
1086,0,47.9709643,16.5069331,246.959,-1,15,0.014,1086.995,1086.8
1087,0,47.9709816,16.5069015,246.929,-1,15,0.005,1087.995,1087.8
1088,0,47.9709989,16.5068704,246.969,-1,17,0.018,1088.995,1088.795
1089,0,47.9710155,16.5068391,246.959,-1,13,0.02,1089.995,1089.795
1090,0,47.971032,16.5068075,246.859,-1,14,0.01,1090.995,1090.795
1091,0,47.9710489,16.5067763,246.849,-1,16,0.016,1091.995,1091.795
1092,0,47.9710657,16.5067448,246.869,-1,12,0.011,1092.995,1092.795
1093,0,47.9710828,16.5067132,246.869,-1,11,0.01,1093.995,1093.795
1094,0,47.9710999,16.5066821,246.849,-1,16,0.011,1094.995,1094.795
1095,0,47.9711163,16.5066507,246.889,-1,15,0.009,1095.995,1095.795
1096,0,47.9711329,16.5066194,246.879,-1,16,0.014,1096.995,1096.795
1097,0,47.9711498,16.5065878,246.899,-1,20,0.013,1097.995,1097.795
1098,0,47.9711673,16.5065569,246.88,-1,13,0.008,1098.995,1098.795
1099,0,47.9711839,16.5065251,246.86,-1,7,0.013,1099.995,1099.795
1100,0,47.9712004,16.5064929,246.77,-1,12,0.008,1100.995,1100.795
1101,0,47.9712171,16.5064613,246.75,-1,10,0.008,1101.995,1101.795
1102,0,47.9712341,16.5064303,246.76,-1,15,0.012,1102.995,1102.795
1103,0,47.9712512,16.5063994,246.71,-1,17,0.006,1103.995,1103.795
1104,0,47.9712691,16.5063686,246.56,-1,20,0.017,1104.995,1104.795
1105,0,47.9712861,16.5063372,246.55,-1,9,0.008,1105.995,1105.795
1106,0,47.971301,16.5063052,246.57,-1,16,0.022,1106.995,1106.795
1107,0,47.9713166,16.5062733,246.61,-1,19,0.011,1107.995,1107.795
1108,0,47.9713341,16.506242,246.61,-1,18,0.02,1108.995,1108.795
1109,0,47.971352,16.5062112,246.53,-1,17,0.015,1109.995,1109.795
1110,0,47.9713688,16.5061795,246.45,-1,21,0.016,1110.995,1110.795
1111,0,47.9713853,16.5061474,246.38,-1,19,0.037,1111.995,1111.795
1112,0,47.9714013,16.5061153,246.34,-1,19,0.018,1112.995,1112.795
1113,0,47.9714178,16.5060842,246.18,-1,18,0.009,1113.995,1113.795
1114,0,47.9714341,16.5060523,246.11,-1,11,0.008,1114.995,1114.795
1115,0,47.9714509,16.5060208,246.05,-1,17,0.014,1115.995,1115.795
1116,0,47.9714678,16.5059888,246.02,-1,26,0.024,1116.995,1116.795
1117,0,47.9714854,16.5059576,245.99,-1,23,0.014,1117.995,1117.795
1118,0,47.9715028,16.5059267,245.97,-1,21,0.019,1118.995,1118.795
1119,0,47.97152,16.5058939,245.95,-1,17,0.014,1119.995,1119.795
1120,0,47.9715369,16.5058638,245.9,-1,19,0.019,1120.995,1120.795
1121,0,47.9715531,16.5058322,245.89,-1,22,0.015,1121.995,1121.795
1122,0,47.9715698,16.5058001,245.89,-1,32,0.041,1122.995,1122.795
1123,0,47.9715866,16.5057693,245.901,-1,32,0.034,1123.995,1123.795
1124,0,47.9716032,16.5057363,245.891,-1,26,0.02,1124.995,1124.79
1125,0,47.97162,16.5057041,245.911,-1,25,0.018,1125.995,1125.79
1126,0,47.9716373,16.5056733,245.971,-1,26,0.028,1126.995,1126.79
1127,0,47.9716538,16.5056428,245.961,-1,19,0.037,1127.995,1127.79
1128,0,47.9716694,16.5056123,245.971,-1,21,0.021,1128.995,1128.79
1129,0,47.9716879,16.5055852,245.981,-1,25,0.028,1129.995,1129.79
1130,0,47.9717099,16.5055761,246.061,-1,23,0.02,1130.995,1130.79
1131,0,47.9717317,16.5055922,246.071,-1,21,0.018,1131.995,1131.79
1132,0,47.9717505,16.505619,245.891,-1,21,0.023,1132.995,1132.79
1133,0,47.9717683,16.5056507,245.67,-1,26,0.025,1133.995,1133.79
1134,0,47.9717804,16.5056891,245.52,-1,29,0.024,1134.995,1134.79
1135,0,47.9717785,16.5057281,245.41,-1,24,0.019,1135.995,1135.79
1136,0,47.9717649,16.5057614,245.38,-1,28,0.027,1136.995,1136.79
1137,0,47.9717475,16.5057941,245.65,-1,32,0.035,1137.995,1137.79
1138,0,47.9717298,16.5058268,245.89,-1,37,0.039,1138.995,1138.79
1139,0,47.9717126,16.50586,246.02,-1,34,0.029,1139.995,1139.79
1140,0,47.9716954,16.5058912,246.16,-1,38,0.045,1140.995,1140.79
1141,0,47.9716782,16.5059211,246.23,-1,37,0.04,1141.995,1141.79
1142,0,47.9716618,16.5059525,246.24,-1,28,0.037,1142.995,1142.79
1143,0,47.9716447,16.5059834,246.18,-1,47,0.052,1143.995,1143.785
1144,0,47.9716269,16.5060138,246.07,-1,32,0.027,1144.995,1144.785
1145,0,47.9716096,16.5060449,246.06,-1,35,0.051,1145.995,1145.785
1146,0,47.971593,16.5060771,246.15,-1,26,0.017,1146.995,1146.785
1147,0,47.9715766,16.5061093,246.23,-1,30,0.037,1147.995,1147.785
1148,0,47.9715601,16.506143,246.27,-1,41,0.039,1148.995,1148.785
1149,0,47.9715426,16.5061726,246.32,-1,34,0.027,1149.995,1149.785
1150,0,47.9715259,16.5062021,246.29,-1,22,0.018,1150.995,1150.785
1151,0,47.9715088,16.506235,246.4,-1,20,0.024,1151.995,1151.785
1152,0,47.9714921,16.5062671,246.469,-1,23,0.021,1152.995,1152.785
1153,0,47.9714759,16.5062977,246.399,-1,23,0.023,1153.995,1153.785
1154,0,47.9714597,16.5063285,246.379,-1,19,0.014,1154.995,1154.785
1155,0,47.9714431,16.506359,246.369,-1,31,0.018,1155.995,1155.78
1156,0,47.9714259,16.5063896,246.269,-1,18,0.02,1156.995,1156.78
1157,0,47.9714092,16.5064215,246.159,-1,20,0.015,1157.995,1157.78
1158,0,47.9713929,16.5064538,246.009,-1,19,0.024,1158.995,1158.78
1159,0,47.9713768,16.5064859,245.979,-1,25,0.021,1159.995,1159.78
1160,0,47.9713599,16.5065174,245.929,-1,18,0.014,1160.995,1160.78
1161,0,47.971341,16.5065479,246.009,-1,12,0.012,1161.995,1161.78
1162,0,47.9713231,16.5065789,245.979,-1,19,0.026,1162.995,1162.78
1163,0,47.9713071,16.5066114,246.009,-1,16,0.014,1163.995,1163.78
1164,0,47.9712923,16.5066435,245.889,-1,9,0.004,1164.995,1164.78
1165,0,47.9712759,16.5066751,245.869,-1,12,0.009,1165.995,1165.78
1166,0,47.9712583,16.5067059,245.939,-1,13,0.008,1166.995,1166.78
1167,0,47.9712408,16.5067371,245.919,-1,17,0.022,1167.995,1167.78
1168,0,47.971224,16.5067685,245.809,-1,20,0.012,1168.995,1168.78
1169,0,47.9712073,16.5068002,245.779,-1,13,0.006,1169.995,1169.78
1170,0,47.9711906,16.5068317,245.719,-1,26,0.015,1170.995,1170.78
1171,0,47.9711737,16.5068636,245.719,-1,12,0.01,1171.995,1171.775
1172,0,47.9711566,16.5068962,245.789,-1,17,0.018,1172.995,1172.775
1173,0,47.9711399,16.506927,245.769,-1,16,0.016,1173.995,1173.775
1174,0,47.9711229,16.506957,245.729,-1,18,0.021,1174.995,1174.775
1175,0,47.9711056,16.5069872,245.729,-1,20,0.008,1175.995,1175.775
1176,0,47.9710894,16.5070185,245.669,-1,19,0.029,1176.995,1176.775
1177,0,47.9710728,16.5070507,245.498,-1,14,0.014,1177.995,1177.775
1178,0,47.971057,16.5070842,245.448,-1,19,0.011,1178.995,1178.775
1179,0,47.9710416,16.507117,245.528,-1,14,0.009,1179.995,1179.775
1180,0,47.971025,16.5071468,245.578,-1,17,0.016,1180.995,1180.775
1181,0,47.9710059,16.5071777,245.568,-1,18,0.012,1181.995,1181.775
1182,0,47.9709886,16.5072102,245.678,-1,17,0.014,1182.995,1182.775
1183,0,47.9709732,16.5072411,245.608,-1,24,0.015,1183.995,1183.775
1184,0,47.9709568,16.5072719,245.608,-1,13,0.019,1184.995,1184.775
1185,0,47.9709391,16.5073029,245.638,-1,22,0.008,1185.995,1185.775
1186,0,47.970922,16.5073341,245.718,-1,13,0.008,1186.995,1186.775
1187,0,47.9709057,16.5073656,245.838,-1,14,0.033,1187.995,1187.775
1188,0,47.9708921,16.5074003,245.678,-1,16,0.009,1188.995,1188.775
1189,0,47.9708916,16.5074387,245.578,-1,20,0.012,1189.995,1189.775
1190,0,47.9709053,16.5074724,245.488,-1,13,0.009,1190.995,1190.77
1191,0,47.9709224,16.5075006,245.338,-1,15,0.006,1191.995,1191.77
1192,0,47.9709415,16.5075259,245.248,-1,12,0.018,1192.995,1192.77
1193,0,47.9709648,16.5075382,245.068,-1,13,0.009,1193.995,1193.77
1194,0,47.9709907,16.5075271,244.857,-1,16,0.011,1194.995,1194.77
1195,0,47.9710093,16.5074996,244.877,-1,16,0.017,1195.995,1195.77
1196,0,47.971024,16.5074706,245.008,-1,15,0.005,1196.995,1196.77
1197,0,47.9710382,16.5074392,245.248,-1,25,0.014,1197.995,1197.77
1198,0,47.9710543,16.5074069,245.438,-1,18,0.009,1198.995,1198.77
1199,0,47.9710707,16.5073757,245.518,-1,12,0.011,1199.995,1199.77
1200,0,47.9710878,16.5073447,245.588,-1,11,0.018,1200.995,1200.77
1201,0,47.9711044,16.5073138,245.698,-1,21,0.012,1201.995,1201.77
1202,0,47.9711212,16.5072827,245.848,-1,16,0.017,1202.995,1202.77
1203,0,47.9711384,16.5072514,245.878,-1,22,0.021,1203.995,1203.77
1204,0,47.9711555,16.5072207,245.708,-1,20,0.026,1204.995,1204.77
1205,0,47.9711725,16.5071892,245.718,-1,7,0.008,1205.995,1205.77
1206,0,47.9711893,16.5071574,245.728,-1,10,0.008,1206.995,1206.77
1207,0,47.9712064,16.5071262,245.758,-1,22,0.019,1207.995,1207.77
1208,0,47.9712231,16.5070946,245.748,-1,12,0.01,1208.995,1208.77
1209,0,47.9712397,16.507063,245.758,-1,15,0.017,1209.995,1209.77
1210,0,47.9712566,16.507031,245.808,-1,20,0.02,1210.995,1210.77
1211,0,47.9712737,16.5069999,245.878,-1,14,0.017,1211.995,1211.77
1212,0,47.9712915,16.5069697,245.958,-1,18,0.013,1212.995,1212.77
1213,0,47.9713077,16.5069385,246.008,-1,11,0.015,1213.995,1213.77
1214,0,47.9713247,16.5069073,246.028,-1,15,0.016,1214.995,1214.77
1215,0,47.9713417,16.5068757,245.988,-1,20,0.025,1215.995,1215.77
1216,0,47.9713583,16.5068437,246.028,-1,17,0.01,1216.995,1216.77
1217,0,47.9713751,16.5068125,246.078,-1,11,0.009,1217.995,1217.77
1218,0,47.9713919,16.5067811,246.068,-1,11,0.014,1218.995,1218.77
1219,0,47.9714088,16.5067495,246.108,-1,14,0.009,1219.995,1219.77
1220,0,47.9714255,16.5067181,246.108,-1,16,0.008,1220.995,1220.77
1221,0,47.9714418,16.5066877,246.139,-1,16,0.009,1221.995,1221.77
1222,0,47.9714583,16.5066562,246.069,-1,19,0.008,1222.995,1222.77
1223,0,47.9714751,16.5066237,246.079,-1,22,0.015,1223.995,1223.77
1224,0,47.9714917,16.5065906,246.089,-1,23,0.016,1224.995,1224.77
1225,0,47.9715086,16.5065597,246.119,-1,16,0.02,1225.995,1225.77
1226,0,47.9715256,16.5065289,246.089,-1,16,0.013,1226.995,1226.77
1227,0,47.9715425,16.506497,246.159,-1,18,0.021,1227.995,1227.77
1228,0,47.9715591,16.506465,246.189,-1,25,0.028,1228.995,1228.77
1229,0,47.9715764,16.5064344,246.199,-1,24,0.031,1229.995,1229.77
1230,0,47.9715924,16.5064041,246.169,-1,29,0.023,1230.995,1230.765
1231,0,47.9716089,16.5063721,246.159,-1,22,0.024,1231.995,1231.765
1232,0,47.9716255,16.5063406,246.139,-1,39,0.034,1232.995,1232.765
1233,0,47.9716434,16.5063099,246.149,-1,39,0.048,1233.995,1233.765
1234,0,47.9716601,16.5062783,246.189,-1,42,0.044,1234.995,1234.765
1235,0,47.9716766,16.506247,246.179,-1,55,0.086,1235.995,1235.765
1236,0,47.9716929,16.5062145,246.139,-1,67,0.073,1236.995,1236.765
1237,0,47.97171,16.5061823,246.169,-1,65,0.08,1237.995,1237.765
