Spectrum No,Lat,Lon,lheight,dose,Cs_G,TC_g
191,47.97224902,16.50612601,12.31258711,14.89878522,0,220.0373535
192,47.97223243,16.50615608,11.69233781,12.98321438,0,233.0673065
193,47.97221262,16.50619225,12.07273001,12.8220126,0,229.687439
194,47.97219606,16.50622576,12.3302503,15.63961506,0,243.0069275
195,47.97218142,16.50625643,13.15267732,14.77629852,0,272.7685242
196,47.97216806,16.50628496,13.09311807,18.71510696,0.906128764,316.1686096
197,47.97214838,16.50632298,11.72107778,20.29276654,4.273238917,357.8235168
198,47.97213096,16.5063566,11.66028109,19.52684234,5.353018382,422.2875366
199,47.97211543,16.506388,12.10896785,21.23850431,0,443.4217834
200,47.97210046,16.50641809,12.26618627,21.27717824,0,400.1366577
201,47.97208317,16.50645196,12.89612394,24.00571345,0,470.8622437
202,47.97206629,16.50648428,12.54670307,20.02625158,0,532.8595581
203,47.97204971,16.50651708,12.10058002,22.11028292,0,501.4653625
204,47.97203525,16.50654801,12.00360005,20.35647109,0,457.2765198
205,47.97202064,16.50657773,11.52759999,22.61466004,0,417.6089478
206,47.97200264,16.50661224,11.87930976,16.57195663,0,330.2155762
207,47.97198426,16.50664684,12.36214296,15.29401684,2.215343237,297.0470276
208,47.97196724,16.50667912,10.56740017,17.854025,9.733051026,290.1112671
209,47.97195225,16.50670898,9.892534723,14.71970463,2.222904543,292.0445251
210,47.97193756,16.50673782,9.928096612,14.26934557,3.440551957,283.2977905
211,47.97192002,16.50677171,8.378257835,12.22160446,10.80689593,230.6383514
212,47.9719019,16.50680662,9.855069135,14.53965639,0,285.7703552
213,47.97188539,16.506838,10.72958046,12.93675709,0,256.3343201
214,47.9718701,16.50686617,10.74848078,12.01392078,10.18363263,195.7648621
215,47.97185441,16.50689375,12.8318382,12.0260745,16.35022889,241.0720062
216,47.97183559,16.50692988,11.59990995,13.96142197,21.0729308,233.7385864
217,47.97181778,16.50696387,11.85690027,11.54220364,0,261.1020203
218,47.97180059,16.50699284,11.52452007,11.52477264,0,249.2033081
219,47.97178494,16.5070204,10.49153642,14.46535476,12.26581989,210.8114014
220,47.97176991,16.50704799,9.029839777,10.11807919,13.00495515,155.1694794
221,47.97175077,16.50708544,11.24216005,9.879733086,8.370528221,145.6064606
222,47.97173321,16.50711941,12.18353376,10.27316666,11.4493494,153.8945007
223,47.97171698,16.50714983,11.77612611,10.57704963,13.00509993,169.7164459
224,47.97170163,16.50717797,12.13521471,9.419893265,18.77086871,177.7508545
225,47.97168601,16.50720628,12.85,6.945660513,19.68510538,118.7549438
226,47.97166472,16.50724695,12.83518518,10.56236458,4.920212412,120.8399048
227,47.97164778,16.50728004,13.2573795,9.121520504,6.097125929,170.6861267
228,47.97163221,16.50730977,14.33103,10.80975533,23.96495975,157.2620239
229,47.97161776,16.50733745,13.87287477,8.002943993,16.53231812,200.1531067
230,47.97160328,16.50736548,13.22585573,8.714755025,19.27135945,147.9436798
231,47.97158138,16.50740842,13.82971681,8.728730202,16.78239457,110.7032089
232,47.97156474,16.50744108,13.50002992,8.681932449,9.708764076,163.4464722
233,47.97154914,16.50747096,14.24396024,8.668384252,13.15029708,139.8602753
234,47.97153431,16.50749904,14.27920998,8.42162762,19.16487308,102.6614685
235,47.9715202,16.50752622,14.25386386,8.468022346,14.56068176,124.2816238
236,47.97149823,16.50757111,14.27996995,8.861677191,4.805984056,130.7009583
237,47.9714825,16.50760265,14.21300301,10.22073761,0,126.3825989
238,47.97146827,16.50763102,14.23207999,9.518118231,0,184.1372528
239,47.97145386,16.50765953,14.03600416,10.86825757,5.391955664,204.3522034
240,47.97143539,16.50769501,12.59281844,8.690576553,7.579992114,169.2173767
241,47.97141775,16.50772963,11.00969021,8.176699638,0,194.0027771
242,47.97140207,16.50776181,12.15497478,9.323261303,24.38173654,145.5170288
243,47.97138774,16.50779127,12.59107156,8.465327668,29.00607961,134.45961
244,47.97137323,16.50782007,12.8403695,10.40494633,1.504174054,193.6590576
245,47.97135355,16.50785847,10.4557774,9.85138301,0,190.3652649
246,47.97133615,16.50789167,12.45368732,10.27183914,0,181.532486
247,47.97132006,16.5079219,12.70267165,11.85441789,4.378584359,138.9485779
248,47.97130541,16.50794922,14.09480001,9.165068767,0,111.132103
249,47.97129149,16.50797543,14.15454999,8.005530165,1.487936802,119.1798172
250,47.97126804,16.50800461,14.35777221,10.65496445,16.78811185,105.685524
251,47.97124429,16.50800439,14.24431996,10.82039547,3.695495844,194.8922882
252,47.97122263,16.50798736,14.05921,9.090718447,0,218.5641785
253,47.9712039,16.50796614,14.04622999,9.923144376,6.802637091,167.1212463
254,47.97118701,16.50794349,14.07226731,8.913768222,18.12559576,131.054306
255,47.97117224,16.5078958,14.3360241,10.17840874,15.9824522,148.4410706
256,47.9711779,16.50785705,14.30474494,8.387880532,1.29090188,155.4228516
257,47.9711918,16.50782438,13.96672677,10.72990606,14.09672384,119.2670135
258,47.97120752,16.50779607,13.85531527,8.496583939,23.54878373,111.3372803
259,47.9712231,16.50776769,13.8721999,8.696235746,0.481137039,157.302124
260,47.971246,16.50772491,13.4205601,9.527860219,0,162.9695129
261,47.97126217,16.50769352,13.0709,10.26793289,9.967273086,130.3981171
262,47.97127692,16.50766452,13.51709309,9.502739906,1.787041664,164.0243835
263,47.97129121,16.50763678,12.72005947,11.04169551,5.971063929,175.7551727
264,47.97130715,16.50760592,10.30702981,9.868875504,19.25327447,149.3967285
265,47.97132633,16.50756731,11.09842963,9.5528965,0.77328825,187.0882263
266,47.97134003,16.50754036,11.99117066,10.24693255,0,177.6458282
267,47.97135609,16.5075096,13.06057903,11.1089077,0,193.234436
268,47.97137375,16.50747535,14.14893786,9.038561821,0,197.2068481
269,47.97139119,16.50744161,14.03003007,10.65206562,0,188.9663544
270,47.97140995,16.50740628,14.0018999,11.38977528,21.80943451,148.3692627
271,47.9714235,16.50738042,14.16104,11.13409805,17.1088295,173.6021271
272,47.97143897,16.50735048,14.17045906,10.16987849,0,225.2597351
273,47.97145659,16.50731682,14.26739999,9.387939453,0,185.0790863
