RECS_fid,Lat_deg,Lon_deg,DosPGIS_nGypH
0,47.974827,16.512134,50.718
1,47.974827,16.512134,48.788
2,47.974827,16.512134,49.745
3,47.974827,16.512134,49.72
4,47.974827,16.512134,51.656
5,47.974827,16.512136,50.728
6,47.974823,16.512136,51.818
7,47.974823,16.512138,51.184
8,47.974819,16.512138,50.95
9,47.974819,16.51214,51.878
10,47.974819,16.51214,51.865
11,47.974815,16.512142,52.026
12,47.974812,16.512142,50.463
13,47.974812,16.51214,52.616
14,47.974812,16.51214,51.394
15,47.974808,16.51214,50.729
16,47.974808,16.51214,52.026
17,47.974808,16.512142,52.46
18,47.974804,16.512142,50.528
19,47.974804,16.512142,50.786
20,47.974804,16.512144,50.281
21,47.974804,16.512144,51.452
22,47.974804,16.512144,51.121
23,47.974804,16.512146,49.356
24,47.974804,16.512146,49.526
25,47.974804,16.512148,51.781
26,47.9748,16.512148,50.408
27,47.9748,16.512148,50.707
28,47.9748,16.512148,51.266
29,47.9748,16.512148,50.249
30,47.9748,16.512148,50.084
31,47.9748,16.512148,49.405
32,47.9748,16.512148,51.303
33,47.9748,16.51215,52.929
34,47.9748,16.51215,53.348
35,47.9748,16.51215,53.452
36,47.9748,16.512152,51.634
37,47.9748,16.512152,52.626
38,47.9748,16.512152,51.834
39,47.9748,16.512152,52.511
40,47.9748,16.512152,52.959
41,47.9748,16.512154,51.838
42,47.9748,16.512154,52.404
43,47.9748,16.512154,51.415
44,47.9748,16.512154,51.817
45,47.974804,16.512154,50.584
46,47.974804,16.512154,51.194
47,47.974804,16.512154,51.141
48,47.974804,16.512154,49.836
49,47.974808,16.512154,48.987
50,47.974808,16.512155,49.224
51,47.974808,16.512155,49.673
52,47.974808,16.512155,48.9
53,47.974812,16.512155,46.529
54,47.974812,16.512154,47.519
55,47.974812,16.512152,47.355
56,47.974812,16.512152,45.932
57,47.974812,16.512152,44.801
58,47.974812,16.512152,45.249
59,47.974812,16.512152,47.437
60,47.974812,16.512152,47.214
61,47.974812,16.512152,47.282
62,47.974812,16.512152,47.617
63,47.974812,16.512152,46.027
64,47.974812,16.512152,44.951
65,47.974812,16.512152,44.315
66,47.974812,16.512152,44.87
67,47.974812,16.51215,45.796
68,47.974812,16.51215,46.236
69,47.974812,16.51215,47.301
70,47.974812,16.512152,47.011
71,47.974812,16.512152,46.415
72,47.974812,16.512152,47.406
73,47.974815,16.512152,47.306
74,47.974815,16.512152,46.983
75,47.974815,16.512152,47.046
76,47.974815,16.512152,47.574
77,47.974815,16.512152,46.991
78,47.974815,16.512154,46.265
79,47.974815,16.512154,44.509
80,47.974815,16.512154,45.549
81,47.974815,16.512154,47.855
82,47.974819,16.512155,46.44
83,47.974819,16.512155,47.186
84,47.974819,16.512157,46.311
85,47.974823,16.512157,46.327
86,47.974823,16.512157,46.096
87,47.974823,16.512157,45.867
88,47.974827,16.512161,45.82
89,47.974838,16.512167,46.027
90,47.97485,16.512175,46.158
91,47.97485,16.512178,47.885
92,47.974853,16.51218,48.927
93,47.974853,16.512176,51.428
