RECS_fid,Lat_deg,Lon_deg,DosPGIS_nGypH
0,47.974743,16.512117,46.754
1,47.974743,16.512117,46.251
2,47.974743,16.512117,46.971
3,47.974743,16.512117,46.914
4,47.974743,16.512117,46.223
5,47.974743,16.512117,47.044
6,47.974743,16.512117,46.277
7,47.974747,16.512119,46.382
8,47.974747,16.512117,47.403
9,47.974747,16.512117,46.698
10,47.974747,16.512117,46.315
11,47.974747,16.512117,45.479
12,47.974747,16.512117,45.49
13,47.974747,16.512117,46.35
14,47.974747,16.512117,46.755
15,47.974747,16.512117,46.596
16,47.974747,16.512115,46.384
17,47.974747,16.512115,45.921
18,47.974747,16.512113,46.312
19,47.974747,16.512113,45.608
20,47.974747,16.512113,45.379
21,47.974747,16.512113,45.004
22,47.974747,16.512113,45.503
23,47.974747,16.512113,45.885
24,47.974747,16.512113,46.043
25,47.974747,16.512113,45.172
26,47.974747,16.512112,45.54
27,47.974743,16.512112,46.629
28,47.974743,16.51211,45.967
29,47.974743,16.51211,45.691
30,47.974743,16.51211,46.554
31,47.974743,16.512108,46.458
32,47.974739,16.512108,46.448
33,47.974739,16.512106,46.53
34,47.974739,16.512106,45.968
35,47.974739,16.512106,46.002
36,47.974739,16.512104,46.071
37,47.974739,16.512104,45.365
38,47.974739,16.512104,46.3
39,47.974739,16.512104,46.82
40,47.974739,16.512104,46.479
41,47.974739,16.512104,47.913
42,47.974739,16.512104,47.014
43,47.974739,16.512104,46.97
44,47.974739,16.512104,46.818
45,47.974739,16.512104,46.35
46,47.974743,16.512104,46.268
47,47.974743,16.512104,46.067
48,47.974743,16.512104,45.906
49,47.974743,16.512104,45.082
50,47.974739,16.512104,45.506
51,47.974739,16.512104,45.327
52,47.974739,16.512104,45.844
53,47.974739,16.512104,46.818
54,47.974735,16.512104,46.395
55,47.974735,16.512104,46.318
56,47.974735,16.512104,47.454
57,47.974731,16.512106,47.787
58,47.974731,16.512106,46.729
59,47.974731,16.512108,47.117
60,47.974731,16.512108,47.194
61,47.974731,16.51211,46.848
62,47.974728,16.51211,47.622
63,47.974728,16.512112,47.242
64,47.974728,16.512112,48.415
65,47.974728,16.512113,47.922
66,47.974728,16.512113,47.214
67,47.974728,16.512115,47.066
68,47.974728,16.512117,47.546
69,47.974728,16.512119,47.836
70,47.974728,16.512119,46.814
71,47.974728,16.512121,47.577
72,47.974731,16.512123,47.648
73,47.974731,16.512123,47.708
74,47.974731,16.512125,48.074
75,47.974731,16.512127,47.153
76,47.974731,16.512127,47.401
77,47.974731,16.512127,47.008
78,47.974731,16.512127,47.008
79,47.974731,16.512127,47.268
80,47.974731,16.512129,47.563
81,47.974731,16.512129,47.766
82,47.974731,16.512127,46.566
83,47.974735,16.512125,46.695
84,47.974735,16.512121,45.846
85,47.974735,16.512121,46.663
86,47.974743,16.512125,46.971
87,47.974754,16.512127,47.854
88,47.974754,16.512123,47.9
89,47.974766,16.512119,46.738
90,47.974773,16.512117,46.61
91,47.974777,16.512113,46.505
92,47.974777,16.512113,47.605
93,47.974781,16.51211,48.648
94,47.974785,16.512108,48.806
95,47.974785,16.512112,48.193
96,47.974785,16.512113,48.521
97,47.974785,16.512112,47.803
98,47.974785,16.512113,47.703
99,47.974785,16.512113,47.083
100,47.974785,16.512115,47.17
101,47.974785,16.512115,46.541
102,47.974785,16.512113,46.32
103,47.974785,16.512112,46.957
104,47.974785,16.512112,47.46
105,47.974785,16.512113,47.96
106,47.9748,16.512113,49.017
107,47.974819,16.512113,50.853
108,47.974838,16.512115,51.429
109,47.974857,16.512115,51.67
110,47.974876,16.512115,51.825
111,47.974895,16.512112,51.37
112,47.974911,16.512115,49.995
113,47.974918,16.512119,49.475
114,47.974922,16.512123,48.495
115,47.974926,16.512127,48.143
116,47.97493,16.512131,46.971
117,47.97493,16.512131,46.139
118,47.974926,16.512133,47.278
119,47.974926,16.512134,46.385
120,47.974926,16.512136,48.31
121,47.974926,16.51214,47.67
122,47.974926,16.512142,46.778
123,47.974926,16.512142,47.334
124,47.974926,16.512142,46.441
125,47.974922,16.512142,46.953
126,47.974922,16.512142,47.012
127,47.974911,16.512136,46.808
128,47.974899,16.512131,45.738
129,47.974892,16.512127,46.417
130,47.974888,16.512121,47.278
131,47.974888,16.512119,47.556
132,47.974884,16.512119,47.028
133,47.97488,16.512133,46.43
134,47.97488,16.512144,46.346
135,47.974872,16.512161,46.94
136,47.974872,16.512171,47.253
137,47.974869,16.512175,48.381
138,47.974865,16.512188,47.493
139,47.974857,16.512197,46.336
140,47.974853,16.512205,46.57
141,47.974853,16.512215,46.844
142,47.97485,16.512215,47.138
143,47.97485,16.512222,46.697
144,47.974846,16.512222,46.513
145,47.974846,16.512224,45.701
146,47.974842,16.512222,46.725
147,47.974846,16.512222,47.224
148,47.974842,16.512218,48.663
149,47.974842,16.51222,49.86
150,47.974838,16.512222,52.036
151,47.974831,16.512222,52.953
152,47.974823,16.512224,54.426
153,47.974819,16.512224,55.499
154,47.974812,16.51222,56.536
155,47.974808,16.512224,58.286
156,47.974804,16.51222,58.972
157,47.974796,16.512213,59.701
158,47.974789,16.512209,59.642
159,47.974785,16.512211,59.693
160,47.974781,16.512207,59.865
161,47.974777,16.512201,60.133
162,47.97477,16.512199,59.377
163,47.974766,16.512197,58.89
164,47.974766,16.512196,59.48
