RECS_fid,Lat_deg,Lon_deg,DosPGIS_nGypH
0,47.975105,16.51235,47.12
1,47.975113,16.512356,47.127
2,47.975113,16.512362,46.634
3,47.975117,16.512367,46.528
4,47.97512,16.512373,47.645
5,47.97512,16.512377,46.742
6,47.975109,16.512367,46.331
7,47.975094,16.512369,46.71
8,47.975086,16.512373,47.526
9,47.975078,16.512373,48.561
10,47.975014,16.512337,51.184
11,47.974956,16.512306,53.971
12,47.974926,16.512299,57.431
13,47.974903,16.5123,59.04
14,47.974865,16.512302,58.791
15,47.974842,16.512308,57.602
16,47.974823,16.512302,58.344
17,47.974804,16.512299,58.615
18,47.974789,16.5123,59.155
19,47.974777,16.512306,58.251
20,47.97477,16.512316,59.665
21,47.974762,16.512323,58.871
22,47.974758,16.512329,58.169
23,47.974747,16.512335,58.239
24,47.974735,16.512352,55.493
25,47.974728,16.512369,53.38
26,47.974716,16.512382,51.893
27,47.974708,16.512396,50.021
28,47.974701,16.512409,48.795
29,47.974689,16.512422,47.955
30,47.974682,16.512436,48.055
31,47.974678,16.512445,47.524
32,47.974666,16.512451,47.23
33,47.974659,16.512459,47.699
34,47.974655,16.512465,48.151
35,47.974644,16.512474,47.757
36,47.974636,16.512487,47.989
37,47.974628,16.512503,47.675
38,47.974621,16.512516,47.539
39,47.974617,16.512527,47.597
40,47.974613,16.512539,47.21
41,47.974613,16.512548,47.997
42,47.974617,16.512562,47.702
43,47.974621,16.512575,48.758
44,47.974632,16.512581,49.118
45,47.974644,16.512583,49.193
46,47.974655,16.512579,48.293
47,47.97467,16.512569,47.748
48,47.974682,16.512556,46.85
49,47.974689,16.512543,46.798
50,47.974701,16.512527,45.816
51,47.974708,16.512514,46.272
52,47.974716,16.512503,45.473
53,47.974724,16.512491,46.205
54,47.974731,16.512478,45.998
55,47.974739,16.512465,45.915
56,47.974747,16.512455,45.607
57,47.974754,16.512443,46
58,47.974762,16.512432,46.605
59,47.974773,16.512419,46.473
60,47.974785,16.512407,45.977
61,47.974792,16.512396,46.132
62,47.974796,16.51238,46.331
63,47.9748,16.512367,48.367
64,47.974808,16.512352,51.097
65,47.974815,16.512339,52.206
66,47.974823,16.512325,53.628
67,47.974831,16.51231,54.422
68,47.974838,16.512297,54.924
69,47.974842,16.512285,55.362
70,47.97485,16.512276,54.369
71,47.974853,16.512264,53.748
72,47.974861,16.512255,54.262
73,47.974865,16.512245,55.355
74,47.974872,16.512237,55.538
75,47.974876,16.512245,54.452
76,47.97488,16.512257,52.462
77,47.974876,16.51227,50.663
78,47.974869,16.512281,50.384
79,47.974853,16.512289,49.786
80,47.974846,16.512293,49.411
81,47.974838,16.512299,49.653
82,47.974834,16.512304,49.589
83,47.974827,16.512314,50.459
84,47.974823,16.512323,50.67
85,47.974815,16.512335,50.82
86,47.974812,16.512342,50.475
87,47.974804,16.512356,49.524
88,47.9748,16.512369,49.506
89,47.974789,16.512382,48.601
90,47.974777,16.512396,48.352
91,47.97477,16.512409,47.612
92,47.974762,16.512426,47.904
93,47.974758,16.512442,47.598
94,47.97475,16.512455,46.521
95,47.974739,16.512468,46.921
96,47.974731,16.512482,46.222
97,47.974724,16.512497,45.926
98,47.974716,16.51251,45.943
99,47.974708,16.512522,45.754
100,47.974697,16.512533,45.25
101,47.974689,16.512545,44.669
102,47.974682,16.512556,44.152
103,47.97467,16.512569,44.888
104,47.974663,16.512581,44.622
105,47.974651,16.512588,44.488
106,47.97464,16.512598,45.078
107,47.974628,16.512611,46.977
108,47.974628,16.512623,48.111
109,47.974632,16.512634,49.058
110,47.97464,16.51264,48.527
111,47.974651,16.512642,47.772
112,47.974663,16.512638,47.383
113,47.97467,16.512632,46.294
114,47.974674,16.512628,45.853
