RECS_fid,Lat_deg,Lon_deg,DosPGIS_nGypH
0,47.974926,16.512119,44.105
1,47.974922,16.512119,43.242
2,47.974922,16.512119,43.313
3,47.974926,16.512119,42.156
4,47.974926,16.512119,43.065
5,47.974926,16.512121,43.9
6,47.974911,16.512117,43.467
7,47.974903,16.512117,43.595
8,47.974899,16.512119,43.498
9,47.974892,16.512119,41.543
10,47.974892,16.512119,41.956
11,47.974892,16.512119,42.758
12,47.974892,16.512119,43.931
13,47.974888,16.512119,42.657
14,47.974888,16.512119,45.153
15,47.974888,16.512117,45.014
16,47.974888,16.512117,43.198
17,47.974884,16.512117,42.864
18,47.974884,16.512119,42.741
19,47.974884,16.512119,41.114
20,47.97488,16.512121,41.444
21,47.97488,16.512121,42.146
22,47.974876,16.512119,42.917
23,47.974876,16.512119,42.585
24,47.974876,16.512119,42.983
25,47.974876,16.512119,44.684
26,47.974876,16.512119,43.952
27,47.974872,16.512121,42.243
28,47.974872,16.512121,42.281
29,47.974872,16.512121,42.61
30,47.974869,16.512119,42.258
31,47.974872,16.512119,42.489
32,47.974865,16.512117,41.866
33,47.974865,16.512113,41.921
34,47.974861,16.512113,41.461
35,47.974861,16.512113,42.129
36,47.974861,16.512113,42.675
37,47.974861,16.512115,42.785
38,47.974857,16.512115,42.966
39,47.974857,16.512115,42.871
40,47.974857,16.512113,43.399
41,47.974857,16.512112,41.292
42,47.974857,16.512113,40.587
43,47.974853,16.512113,41.003
44,47.974853,16.512113,41.226
45,47.974853,16.512113,41.769
46,47.97485,16.512115,42.022
47,47.97485,16.512115,42.133
48,47.974846,16.512117,42.14
49,47.974846,16.512117,43.366
50,47.974842,16.512117,42.679
51,47.974842,16.512117,42.054
52,47.974838,16.512115,42.139
53,47.974838,16.512115,44.73
54,47.974838,16.512115,43.101
55,47.974838,16.512115,42.615
56,47.974838,16.512117,41.982
57,47.974838,16.512117,42.045
58,47.974834,16.512117,41.476
59,47.974834,16.512117,42.397
60,47.974834,16.512115,42.633
61,47.974834,16.512115,43.319
62,47.974831,16.512113,43.518
63,47.974831,16.512113,43.058
64,47.974831,16.512112,43.665
65,47.974831,16.512112,42.778
66,47.974831,16.512112,42.807
67,47.974831,16.512112,42.293
68,47.974831,16.512112,41.58
69,47.974831,16.512112,41.325
70,47.974831,16.512112,40.568
71,47.974827,16.512113,40.84
72,47.974827,16.512115,41.201
73,47.974827,16.512117,42.423
74,47.974823,16.512119,43.485
75,47.974823,16.512119,43.143
76,47.974823,16.512117,43.089
77,47.974815,16.512117,43.001
78,47.974812,16.512113,42.274
79,47.974812,16.512115,42.131
80,47.974812,16.512115,43.052
81,47.974812,16.512112,42.721
82,47.974808,16.512108,44.344
83,47.974812,16.512106,45.302
84,47.974815,16.512112,43.728
85,47.974815,16.512115,43.463
86,47.974819,16.512119,41.832
87,47.974823,16.512119,41.744
88,47.974823,16.512121,42.023
89,47.974827,16.512121,43.446
90,47.974827,16.512119,43.334
91,47.974827,16.512121,43.786
92,47.974827,16.512121,42.979
93,47.974831,16.512125,42.55
94,47.974831,16.512127,42.935
95,47.974838,16.512129,45.49
96,47.974838,16.512127,44.056
97,47.974842,16.512129,43.589
98,47.974846,16.512131,43.119
99,47.974853,16.512129,42
100,47.974857,16.512127,43.106
101,47.974857,16.512129,41.902
102,47.974861,16.512131,44.038
103,47.974869,16.512131,42.746
104,47.974876,16.512136,42.442
105,47.974876,16.512138,44.834
106,47.974884,16.51214,45.185
107,47.974888,16.51214,44.376
108,47.974892,16.512138,45.671
109,47.974892,16.512136,45.583
110,47.974899,16.51214,45.49
111,47.974903,16.512138,45.5
112,47.974903,16.512136,44.867
113,47.974903,16.51214,44.897
114,47.974903,16.512142,47.711
115,47.974903,16.512142,48.825
116,47.974899,16.512142,47.606
117,47.974892,16.512144,49.221
118,47.974892,16.512144,49.02
119,47.974884,16.512144,46.803
120,47.974884,16.512142,48.27
121,47.974884,16.512142,48.203
122,47.974884,16.512142,48.504
123,47.974884,16.512142,47.899
124,47.97488,16.512142,48.494
125,47.97488,16.51214,49.177
126,47.974876,16.512142,49.609
127,47.974876,16.512142,51.717
128,47.974872,16.51214,50.679
129,47.974869,16.512138,50.452
130,47.974865,16.512136,49.604
131,47.974861,16.512138,48.655
132,47.974853,16.512142,49.38
133,47.974842,16.512144,48.937
134,47.974834,16.51215,49.195
135,47.974823,16.512157,49.883
136,47.974815,16.512161,52.044
137,47.974796,16.512167,56.051
138,47.974785,16.512182,58.604
139,47.974773,16.512188,57.886
140,47.974766,16.512197,59.507
141,47.974758,16.512207,61.525
142,47.97475,16.512215,60.221
143,47.974747,16.512224,59.446
144,47.974739,16.512232,59.688
145,47.974731,16.512241,59.916
146,47.974724,16.512251,60.108
147,47.974716,16.512258,58.79
148,47.974708,16.512268,58.006
149,47.974701,16.512278,57.776
150,47.974693,16.512295,57.075
151,47.974689,16.51231,55.038
152,47.974686,16.512327,53.672
153,47.974678,16.512342,54.164
154,47.97467,16.51236,50.982
155,47.974666,16.512375,50.82
156,47.974663,16.512388,48.211
157,47.974655,16.512398,49.302
158,47.974647,16.512409,49.419
159,47.97464,16.512421,49.209
160,47.974632,16.51243,47.739
161,47.974625,16.512442,46.614
162,47.974617,16.512453,47.431
163,47.974609,16.512465,47.054
164,47.974602,16.512476,47.35
165,47.974598,16.512487,48.378
166,47.97459,16.512499,47.246
167,47.974586,16.51251,47.684
168,47.974575,16.512525,46.985
169,47.974583,16.512535,46.307
170,47.974586,16.512537,47.639
171,47.97459,16.512539,48.183
172,47.974598,16.512535,47.667
173,47.974602,16.512541,47.789
174,47.974613,16.512541,47.495
175,47.974621,16.512537,47.225
176,47.974628,16.512522,45.765
177,47.974636,16.51251,48.597
178,47.97464,16.512499,46.983
179,47.974651,16.512487,47.714
180,47.974659,16.512478,47.07
181,47.974666,16.512468,48.408
182,47.974674,16.512457,45.782
183,47.974682,16.512443,45.064
184,47.974689,16.512434,44.027
185,47.974697,16.512422,44.221
186,47.974708,16.512411,45.915
187,47.974716,16.5124,46.214
188,47.97472,16.512386,45.371
189,47.974728,16.512375,44.261
190,47.974735,16.512363,45.57
191,47.974743,16.512352,48.564
192,47.97475,16.512342,50.416
193,47.974758,16.512331,51.556
194,47.97477,16.512318,53.411
195,47.974773,16.512308,54.571
196,47.974777,16.512297,56.382
197,47.974781,16.512285,58.507
198,47.974789,16.512274,57.899
199,47.974792,16.51226,57.881
200,47.9748,16.512243,60.131
201,47.9748,16.512232,59.625
202,47.974804,16.512222,59.067
203,47.974812,16.512211,59.129
204,47.974815,16.512205,58.426
205,47.974823,16.512201,60.009
206,47.974827,16.512205,61.604
207,47.974838,16.512215,59.959
208,47.974838,16.512224,58.98
209,47.974846,16.512236,58.218
210,47.974846,16.512247,58.362
211,47.974842,16.51226,55.363
212,47.974838,16.512276,53.525
213,47.974834,16.512289,53.934
214,47.974827,16.512299,55.15
215,47.974823,16.51231,55.402
216,47.974819,16.512318,55.343
217,47.974812,16.512329,54.43
218,47.974804,16.512337,54.337
219,47.974796,16.51235,53.044
220,47.974789,16.512362,52.446
221,47.974785,16.512375,50.097
222,47.974777,16.512384,50.014
223,47.97477,16.512394,50.104
224,47.974762,16.512403,49.382
225,47.974754,16.512411,47.12
226,47.974747,16.512422,47.698
227,47.974739,16.512436,45.875
228,47.974731,16.512447,45.968
229,47.974728,16.512463,45.1
230,47.97472,16.512474,45.828
231,47.974712,16.512489,47.372
232,47.974701,16.512501,48.017
233,47.974693,16.512512,46.488
234,47.974686,16.512525,45.386
235,47.974678,16.512535,46.35
236,47.974666,16.512545,45.726
237,47.974663,16.512558,46.056
238,47.974655,16.512567,44.212
239,47.974647,16.512579,44.337
240,47.97464,16.51259,43.354
241,47.974632,16.512602,45.838
242,47.974628,16.512613,46.095
243,47.974632,16.512621,46.199
244,47.974636,16.51263,45.905
245,47.974644,16.512634,45.791
246,47.974651,16.51263,44.759
247,47.974659,16.512619,44.206
248,47.974666,16.512609,44.048
249,47.974674,16.5126,43.394
250,47.974682,16.51259,43.622
251,47.974689,16.512581,45.166
252,47.974697,16.512571,43.916
253,47.974705,16.512562,43.406
254,47.974716,16.512552,42.026
255,47.974724,16.512541,43.005
256,47.974731,16.512527,43.067
257,47.974739,16.512514,41.932
258,47.974747,16.512504,41.74
259,47.974754,16.512495,43.86
260,47.974762,16.512486,43.837
261,47.97477,16.512474,44.772
262,47.974773,16.512461,44.591
263,47.974777,16.512445,44.902
264,47.974781,16.51243,46.218
265,47.974781,16.512413,45.348
266,47.974785,16.512396,46.45
267,47.974789,16.512382,47.221
268,47.974796,16.512367,47.483
269,47.974804,16.51235,47.078
270,47.974808,16.512335,48.157
271,47.974812,16.512321,47.863
272,47.974819,16.512306,49.167
273,47.974823,16.512293,48.686
274,47.974827,16.512281,48.875
275,47.974834,16.512272,49.333
276,47.974838,16.512266,48.055
277,47.97485,16.512258,48.033
278,47.974857,16.512257,47.688
279,47.974865,16.512264,46.446
280,47.974869,16.512276,45.23
281,47.974869,16.512291,44.754
282,47.974865,16.512304,43.953
283,47.974861,16.51232,45.551
284,47.974853,16.512333,46.68
285,47.97485,16.512344,47.419
286,47.974842,16.512356,46.961
287,47.974838,16.512369,48.024
288,47.974831,16.512382,49.224
289,47.974823,16.512396,46.878
290,47.974815,16.512407,48.205
291,47.974812,16.512419,48.635
292,47.974804,16.512432,47.652
293,47.974796,16.512453,47.043
294,47.974792,16.512466,45.879
295,47.974789,16.512482,47.682
296,47.974777,16.512493,46.588
297,47.97477,16.512506,45.712
298,47.974762,16.512518,47.259
299,47.974754,16.512527,45.136
300,47.974747,16.512539,44.349
301,47.974735,16.51255,44.181
302,47.974728,16.51256,43.341
303,47.97472,16.512569,42.806
304,47.974712,16.512581,44.405
305,47.974705,16.512594,44.205
306,47.974697,16.512604,44.11
307,47.974689,16.512613,43.979
308,47.974682,16.512627,43.873
309,47.974674,16.512636,43.294
310,47.97467,16.512648,45.136
311,47.97467,16.512657,43.286
312,47.974678,16.512667,44.192
313,47.974682,16.51267,45.608
314,47.974693,16.512665,47.487
315,47.974701,16.512653,46.046
316,47.974708,16.51264,46.991
317,47.974716,16.512627,45.652
318,47.974724,16.512615,44.456
319,47.974731,16.512604,43.392
320,47.974735,16.512594,42.929
321,47.974743,16.512583,42.886
322,47.97475,16.512569,44.835
323,47.974758,16.51256,44.247
324,47.974762,16.512543,43.827
325,47.97477,16.512527,43.174
326,47.974773,16.512516,44.357
327,47.974777,16.512508,44.426
328,47.974785,16.512499,45.138
329,47.974792,16.512489,46.767
330,47.974796,16.512483,47.593
331,47.9748,16.512476,47.263
332,47.974808,16.512468,50.06
333,47.974815,16.512461,53.253
334,47.974819,16.512447,55.156
335,47.974827,16.512436,57.43
336,47.974834,16.512424,58.346
337,47.974838,16.512417,56.702
338,47.974846,16.512407,56.783
339,47.974853,16.512398,55.716
340,47.974861,16.512388,54.51
341,47.974869,16.512379,55.064
342,47.974876,16.512369,52.961
343,47.97488,16.512356,50.96
344,47.974884,16.512346,49.891
345,47.974892,16.512337,49.699
346,47.974899,16.512329,48.562
347,47.974903,16.512329,48.586
348,47.974914,16.512335,49.422
349,47.974918,16.512344,47.562
350,47.974918,16.512358,48.112
351,47.974918,16.512369,50.394
352,47.974911,16.51238,49.86
353,47.974903,16.51239,49.882
354,47.974899,16.512401,48.185
355,47.974895,16.512415,46.773
356,47.974892,16.512422,47.045
357,47.974884,16.512434,48.07
358,47.974876,16.512443,48.518
359,47.974872,16.512455,49.397
360,47.974869,16.512466,51.842
361,47.974865,16.51248,56.067
362,47.974861,16.512491,80.689
363,47.974853,16.512501,92.278
364,47.974846,16.51251,88.94
365,47.974842,16.51252,79.586
366,47.974834,16.512527,71.44
367,47.974827,16.512537,64.59
368,47.974823,16.512546,58.987
369,47.974815,16.512554,55.288
370,47.974808,16.512564,52.401
371,47.974804,16.512573,51.769
372,47.9748,16.512583,49.7
373,47.974785,16.512594,48.672
374,47.974781,16.512607,48.102
375,47.974773,16.512619,47.306
376,47.97477,16.51263,45.067
377,47.974762,16.512642,44.307
378,47.974758,16.512649,42.318
379,47.97475,16.512659,40.732
380,47.974747,16.512672,43.615
381,47.974739,16.512684,43.145
382,47.974735,16.512695,44.728
383,47.974728,16.512707,44.7
384,47.974724,16.512716,45.166
385,47.97472,16.512726,45.009
386,47.97472,16.512733,46.087
387,47.974728,16.512735,47.595
388,47.974731,16.512733,47.759
389,47.974739,16.512728,49.365
390,47.974743,16.512718,48.187
391,47.974747,16.512711,46.325
392,47.97475,16.512697,45.806
393,47.974754,16.512686,45.894
