Lat,Lon,Dose
47.9748611,16.5121771,0.042
47.9748611,16.5121771,0.042
47.97485,16.5121838,0.043
47.97485,16.5121838,0.039
47.9748396,16.512187,0.046
47.9748316,16.5121877,0.047
47.9748316,16.5121877,0.048
47.9748269,16.512184,0.042
47.9748243,16.5121826,0.044
47.9748243,16.5121826,0.052
47.9748237,16.5121874,0.058
47.9748237,16.5121874,0.058
47.97482,16.5121977,0.053
47.9748179,16.5122057,0.058
47.9748179,16.5122057,0.058
47.9748136,16.5122103,0.059
47.9748136,16.5122103,0.053
47.9748062,16.5122163,0.048
47.9747993,16.5122238,0.045
47.9747993,16.5122238,0.047
47.9747915,16.5122345,0.054
47.9747845,16.5122436,0.048
47.9747845,16.5122436,0.047
47.9747789,16.512251,0.046
47.9747713,16.5122578,0.048
47.9747713,16.5122578,0.048
47.9747631,16.5122683,0.054
47.9747631,16.5122683,0.063
47.9747534,16.5122797,0.056
47.9747534,16.5122797,0.059
47.974746,16.5122916,0.062
47.9747392,16.5123049,0.064
47.9747392,16.5123049,0.055
47.9747336,16.5123185,0.055
47.9747286,16.5123319,0.046
47.9747286,16.5123319,0.047
47.9747249,16.5123445,0.046
47.9747249,16.5123445,0.043
47.9747215,16.5123576,0.042
47.9747215,16.5123576,0.039
47.9747168,16.5123712,0.038
47.9747106,16.5123831,0.034
47.9747106,16.5123831,0.034
47.9747039,16.5123949,0.042
47.9747039,16.5123949,0.042
47.9746974,16.5124079,0.042
47.9746974,16.5124079,0.035
47.9746957,16.5124188,0.034
47.9746938,16.5124313,0.032
47.9746938,16.5124313,0.034
47.9746881,16.5124439,0.034
47.9746881,16.5124439,0.034
47.9746803,16.5124533,0.033
47.9746721,16.5124631,0.029
47.9746721,16.5124631,0.029
47.974666,16.5124683,0.031
47.974666,16.5124683,0.035
47.9746616,16.5124695,0.038
47.9746616,16.5124695,0.036
47.9746569,16.5124749,0.038
47.9746499,16.5124851,0.036
47.9746499,16.5124851,0.036
47.9746431,16.5124954,0.034
47.9746431,16.5124954,0.028
47.9746412,16.512501,0.029
47.9746412,16.512501,0.029
47.9746363,16.5125167,0.034
47.9746363,16.5125167,0.038
47.9746369,16.5125313,0.034
47.974642,16.5125435,0.043
47.974642,16.5125435,0.044
47.9746446,16.5125522,0.044
47.9746446,16.5125522,0.041
47.9746517,16.5125598,0.045
47.9746549,16.512558,0.042
47.9746549,16.512558,0.041
47.9746616,16.5125481,0.05
47.9746616,16.5125481,0.049
47.9746633,16.5125408,0.042
47.9746633,16.5125408,0.044
47.9746657,16.512537,0.04
47.9746685,16.5125323,0.046
47.9746685,16.5125323,0.035
47.974674,16.5125229,0.04
47.9746803,16.5125119,0.04
47.9746803,16.5125119,0.037
47.9746915,16.5124982,0.036
47.9747032,16.5124859,0.035
47.9747032,16.5124859,0.031
47.9747127,16.5124727,0.03
47.9747127,16.5124727,0.035
47.9747192,16.5124581,0.031
47.9747192,16.5124581,0.031
47.9747213,16.5124393,0.028
47.9747213,16.5124393,0.028
